Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,10u, C15850
"C10, C11, C3, C4, C5, C6, C7, C9",0805,8,100n,C49678
C8,0805,1,1uF,C28323
"D1, D2, D3, D4",0805,4,LED, C2297
J2,sdcard_sofng_c111196,1,MicroSD-MGnd,C111196
Q1,SOT-23-rct,1,DMG2305UX-7,C150470
"Q2, Q3, Q4",SOT-23-rct,3,BSS138,C40912
Q5,SOT-23-rct,1,MMBT3904,C20526 
"R1, R2",0603,2,2K7,C17530 
"R10, R11, R12, R13, R14, R15, R16, R17, R19, R20, R9",0603,11,2K2,C17520
R18,0603,1,100K,C149504 
"R21, R28, R29, R3, R30, R31, R4, R45, R46, R47, R48, R5, R6, R7, R8",0603,15,10K,C17414
"R22, R23, R24, R25, R26, R27",0603,6,100,	C17408
"R32, R33",0603,2,1K,C17513
R39,0805,1,0,C17477 
"R49, R51",0603,2,1K,C17530 
R52,0603,1,4K7,C17414
RV1,RM065-trimmer,1,10K pot,C5205021
SW1,TA-1088R-02026,1,SW_SPST,C455280
U1,SOT-223-3_TabPin2,1,AMS1117CD-5.0,C277893
"U10, U2, U3, U4, U5, U6, U7, U8, U9",EL3H7-G,9,EL3H7-G,C92243
U11,SOT-353_SC-70-5,1,74LVC1G32,C460530
U12,SO16,1,ULN2003AD,C7512
"U14, U15, U16",HTSSOP-16_4.4x5mm_P0.65,3,74HCT595,C460504 
U17,SO08,1,LM358D,C2683482
