Designator,Mid X,Mid Y,Rotation,Layer
C1,82.245,-70.325,90.0,top
C10,114.495,-60.375,270.0,top
C11,147.645,-124.475,90.0,top
C2,80.12,-70.325,90.0,top
C3,114.475,-74.315,180.0,top
C4,100.595,-91.025,90.0,top
C5,139.015,-102.275,0.0,top
C6,140.155,-92.765,0.0,top
C7,131.245,-88.355,270.0,top
C8,110.385,-68.625,180.0,top
C9,114.375,-68.625,0.0,top
D1,84.795,-64.725,90.0,top
D2,84.545,-129.925,270.0,top
D3,74.85,-91.955,180.0,top
D4,105.575,-64.055,180.0,top
J2,155.77784,-124.575,90.0,top
Q1,79.295,-90.475,270.0,top
Q2,80.47,-116.6375,90.0,top
Q3,93.53,-118.485,180.0,top
Q4,93.295,-124.375,90.0,top
Q5,111.245,-83.675,270.0,top
R1,78.465,-59.915,0.0,top
R10,105.668333,-129.475,0.0,top
R11,109.321666,-129.475,0.0,top
R12,112.975,-129.475,0.0,top
R13,124.9825,-129.475,0.0,top
R14,128.795,-129.475,0.0,top
R15,132.6075,-129.475,0.0,top
R16,136.42,-129.475,0.0,top
R17,140.2325,-129.475,0.0,top
R18,140.745,-67.415,90.0,top
R19,115.26,-82.775,0.0,top
R2,83.325,-134.245,0.0,top
R20,115.245,-84.525,0.0,top
R21,102.595,-91.025,270.0,top
R22,131.795,-102.675,180.0,top
R23,131.795,-100.775,180.0,top
R24,131.795,-98.775,180.0,top
R25,131.795,-94.825,180.0,top
R26,131.795,-96.775,180.0,top
R27,128.005,-94.815,180.0,top
R28,110.395,-70.475,180.0,top
R29,99.195,-63.075,90.0,top
R3,76.97,-116.075,180.0,top
R30,114.295,-70.475,0.0,top
R31,101.335,-63.085,90.0,top
R32,108.495,-85.6,270.0,top
R33,108.495,-82.4,90.0,top
R39,121.645,-69.375,90.0,top
R4,90.595,-118.475,270.0,top
R45,135.195,-107.875,90.0,top
R46,137.195,-107.875,90.0,top
R47,139.195,-107.875,90.0,top
R48,133.195,-107.875,90.0,top
R49,74.895,-90.175,180.0,top
R5,93.305,-121.425,180.0,top
R51,105.595,-66.0,180.0,top
R52,141.17,-107.875,90.0,top
R6,86.025,-116.035,180.0,top
R7,96.445,-118.475,90.0,top
R8,93.245,-127.325,0.0,top
R9,102.015,-129.475,0.0,top
RV1,100.795,-70.826,180.0,top
SW1,105.895,-76.925,270.0,top
U1,87.075,-74.425,90.0,top
U10,140.534996,-123.375,90.0,top
U11,137.795,-67.475,90.0,top
U12,129.26,-66.71,0.0,top
U14,140.0,-98.375,90.0,top
U15,140.0,-89.035,90.0,top
U16,127.525,-88.145,180.0,top
U17,112.25,-64.74,270.0,top
U2,102.325,-123.415,90.0,top
U3,105.981666,-123.415,90.0,top
U4,109.638332,-123.415,90.0,top
U5,113.295,-123.415,90.0,top
U6,125.285,-123.375,90.0,top
U7,129.097499,-123.375,90.0,top
U8,132.909998,-123.375,90.0,top
U9,136.722497,-123.375,90.0,top
